y=1388, x=546..564
x=532, y=716..727
x=453, y=581..592
x=551, y=250..260
x=600, y=925..932
y=1153, x=513..520
x=542, y=409..424
y=1254, x=516..523
x=599, y=895..916
x=590, y=469..474
x=459, y=440..451
x=630, y=1142..1166
x=460, y=29..45
y=1984, x=536..542
y=864, x=593..610
y=1847, x=578..595
x=523, y=854..881
y=1755, x=584..603
x=571, y=149..164
x=530, y=988..998
x=613, y=1851..1872
y=1524, x=474..483
x=584, y=1330..1343
x=600, y=943..950
y=321, x=599..602
x=593, y=623..639
x=563, y=330..344
x=462, y=1856..1870
y=280, x=506..524
x=471, y=888..899
x=584, y=1812..1814
x=583, y=1481..1493
y=1361, x=534..537
y=1978, x=618..620
x=564, y=824..830
x=456, y=1472..1475
x=624, y=1542..1553
x=561, y=1834..1839
y=1568, x=505..510
x=544, y=1334..1345
y=1752, x=452..454
x=499, y=1397..1409
x=468, y=442..445
y=845, x=500..502
y=810, x=471..490
x=544, y=15..17
x=475, y=543..552
y=133, x=494..522
x=510, y=965..977
x=469, y=1789..1799
x=468, y=502..510
x=463, y=302..317
x=589, y=1224..1234
x=568, y=1635..1638
y=663, x=553..556
x=555, y=1879..1891
y=1018, x=520..524
x=486, y=1643..1670
x=574, y=1387..1402
y=249, x=588..601
x=624, y=1093..1098
y=1320, x=521..524
x=630, y=1535..1559
x=579, y=1408..1431
x=594, y=1065..1074
x=580, y=1703..1714
x=570, y=832..835
y=578, x=601..605
y=1215, x=527..545
x=459, y=651..654
x=584, y=1771..1774
x=550, y=1995..1998
x=480, y=1875..1882
y=442, x=525..538
y=1638, x=568..594
y=1263, x=480..483
x=510, y=227..239
y=1229, x=474..479
x=490, y=97..110
x=589, y=449..460
x=483, y=1513..1524
x=560, y=1939..1944
x=589, y=1869..1880
y=323, x=483..530
x=449, y=1637..1646
y=261, x=610..613
y=1807, x=455..457
x=601, y=1935..1937
y=1678, x=447..458
x=616, y=93..98
x=592, y=1515..1536
x=483, y=117..144
x=480, y=886..895
x=556, y=53..55
x=527, y=232..234
x=623, y=1219..1230
x=495, y=754..764
x=482, y=1155..1167
y=954, x=464..517
y=1257, x=511..529
x=618, y=1488..1495
x=553, y=1637..1646
x=447, y=417..430
x=487, y=1119..1125
x=465, y=578..589
x=457, y=504..517
x=534, y=1598..1603
x=471, y=1276..1280
x=436, y=69..89
x=489, y=1407..1433
y=461, x=500..517
x=467, y=1575..1590
x=624, y=1789..1802
y=1651, x=541..559
x=458, y=1674..1678
y=84, x=444..450
x=516, y=1741..1762
x=444, y=960..973
x=491, y=1368..1381
x=507, y=819..831
y=736, x=598..614
x=479, y=1632..1634
x=457, y=69..89
x=613, y=672..677
x=449, y=1946..1948
x=462, y=651..654
y=128, x=447..449
y=388, x=457..474
x=495, y=1642..1668
x=488, y=1136..1148
x=595, y=1267..1290
x=553, y=904..907
x=636, y=757..785
y=1013, x=583..585
x=581, y=1294..1312
x=507, y=716..726
x=522, y=1643..1668
y=167, x=526..529
x=529, y=1878..1891
x=599, y=1011..1016
x=602, y=299..321
x=525, y=1333..1345
x=547, y=1420..1433
y=785, x=632..636
x=502, y=1099..1113
y=828, x=497..500
x=437, y=1943..1953
y=1935, x=601..606
x=527, y=1134..1139
x=448, y=184..188
x=472, y=1632..1634
x=444, y=1473..1475
x=517, y=288..301
x=539, y=355..360
y=741, x=461..471
x=516, y=1396..1409
x=590, y=45..54
x=544, y=1691..1709
x=573, y=1856..1859
x=532, y=1690..1709
x=624, y=896..916
x=454, y=1888..1894
y=786, x=484..507
y=764, x=477..495
x=590, y=1153..1155
y=37, x=510..513
y=430, x=447..466
y=1859, x=566..573
y=1880, x=589..591
x=571, y=1659..1672
x=609, y=583..593
x=490, y=1328..1335
y=851, x=580..584
y=667, x=565..584
x=605, y=576..578
y=700, x=574..587
x=489, y=751..759
x=623, y=314..317
y=1113, x=488..502
y=265, x=482..491
x=482, y=256..265
x=558, y=1239..1256
x=501, y=1349..1352
